,Ranking
Babe Ruth,399
Barry Bonds,362
Walter Johnson,337
Willie Mays,336
Cy Young,336
Ty Cobb,319
Hank Aaron,296
Roger Clemens,294
Rogers Hornsby,289
Honus Wagner,284
Tris Speaker,280
Ted Williams,279
Stan Musial,263
Eddie Collins,253
Pete Alexander,251
Lou Gehrig,241
Mickey Mantle,238
Lefty Grove,233
Rickey Henderson,231
Kid Nichols,230
Mike Schmidt,227
Nap Lajoie,227
Mel Ott,226
Tom Seaver,220
Greg Maddux,220
Randy Johnson,219
Cap Anson,215
Frank Robinson,211
Christy Mathewson,209
Jimmie Foxx,206
Joe Morgan,202
Eddie Mathews,192
Roberto Clemente,190
Bert Blyleven,190
Cal Ripken,187
Phil Niekro,187
Pedro Martinez,187
Wade Boggs,186
Al Kaline,186
Roger Connor,185
Carl Yastrzemski,184
Johnny Bench,181
Dan Brouthers,180
George Brett,179
Warren Spahn,176
Gaylord Perry,174
Ken Griffey,172
Curt Schilling,172
Bob Gibson,170
Eddie Plank,168
Joe DiMaggio,167
George Davis,167
Steve Carlton,166
Gary Carter,166
Jeff Bagwell,164
Mike Mussina,164
Charlie Gehringer,159
Carlton Fisk,158
Fergie Jenkins,157
Rod Carew,157
Robin Roberts,156
Ivan Rodriguez,154
Larry Walker,151
Arky Vaughan,150
Ed Delahanty,149
Tom Glavine,149
Brooks Robinson,148
Mike Piazza,147
Luke Appling,146
Ozzie Smith,146
Nolan Ryan,146
Bill Dahlen,145
Bobby Wallace,145
Johnny Mize,145
Lou Whitaker,144
Reggie Jackson,144
Robin Yount,143
Alan Trammell,143
Barry Larkin,143
Paul Molitor,140
Bobby Grich,140
Frank Thomas,139
Paul Waner,139
Ron Santo,139
Tim Keefe,139
Frankie Frisch,138
Harry Heilmann,138
Kevin Brown,138
Rick Reuschel,137
Yogi Berra,136
John Smoltz,136
Carl Hubbell,136
Edgar Martinez,135
Sam Crawford,134
Ed Walsh,133
Billy Hamilton,132
Kenny Lofton,132
Al Simmons,132
John Clarkson,132
Lou Boudreau,132
Jack Glasscock,131
Luis Tiant,130
Bob Feller,130
Duke Snider,130
Ryne Sandberg,129
Manny Ramirez,129
Dazzy Vance,129
David Cone,129
Fred Clarke,128
Hal Newhouser,128
Bill Dickey,128
Ernie Banks,128
Tim Raines,128
Jim Palmer,127
Tony Gwynn,127
Craig Biggio,127
Amos Rusie,126
Graig Nettles,126
Jackie Robinson,126
Willie McCovey,126
Ted Lyons,126
Roberto Alomar,126
Joe Cronin,126
Rafael Palmeiro,125
Reggie Smith,125
Vic Willis,125
Eddie Murray,124
Buddy Bell,124
Mark McGwire,124
Stan Coveleski,124
Dennis Eckersley,124
Home Run Baker,123
Dwight Evans,123
Willie Randolph,123
Bret Saberhagen,122
Andre Dawson,122
Gabby Hartnett,121
Jim Edmonds,121
Red Faber,120
Mickey Cochrane,120
Pee Wee Reese,120
Jim Bunning,119
Richie Ashburn,119
Rube Waddell,119
Hank Greenberg,118
Joe Gordon,118
Sal Bando,117
Ken Boyer,117
Goose Goslin,117
Sammy Sosa,116
Gary Sheffield,116
Dick Allen,116
Clark Griffith,115
Don Drysdale,115
Buck Ewing,115
Dave Stieb,115
Juan Marichal,115
Keith Hernandez,115
Dave Winfield,114
Deacon White,114
Old Hoss Radbourn,114
Mordecai Brown,114
Jesse Burkett,113
Harmon Killebrew,112
Don Sutton,112
Joe McGinnity,112
Kevin Appier,112
Joe Torre,112
George Sisler,112
Ted Simmons,112
Vladimir Guerrero,111
Jake Beckley,111
Sherry Magee,111
Billy Williams,111
Bobby Bonds,111
Wes Ferrell,111
Jack Quinn,110
Jim Wynn,110
Chuck Finley,109
Babe Adams,109
Hoyt Wilhelm,109
Chet Lemon,109
Urban Shocker,109
Pud Galvin,109
Zack Wheat,108
Jim O'Rourke,107
Bill Terry,107
Bob Johnson,107
Early Wynn,106
Darrell Evans,106
Tommy John,106
Red Ruffing,105
Joe Medwick,105
Whitey Ford,105
Tony Mullane,105
Jim McCormick,104
Elmer Flick,104
Willie Stargell,104
Gene Tenace,104
Robin Ventura,103
Willie Davis,103
Charlie Bennett,103
Orel Hershiser,103
Joe Tinker,103
Tommy Bond,103
Larry Doby,102
Charlie Buffinton,102
Sandy Koufax,102
Will Clark,102
John Olerud,102
Thurman Munson,102
Wilbur Wood,102
César Cedeño,102
Jeff Kent,102
King Kelly,102
Jimmy Collins,101
Nap Rucker,101
Billy Pierce,101
Eppa Rixey,100
Ernie Lombardi,100
